column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
949,165,55248,32.09,84.25,2019,10,12,23.890000000000043,1,-6.6299999999999955,1,24.110000000000014,1,-10.369999999999948,1,7.750000000000028
1045,1038,55299,31.29,92.04,2019,10,12,17.0,2,-4.389999999999986,1,14.510000000000048,1,-2.9899999999999523,1,6.032500000000027
1179,18,55437,30.17,81.15,2019,10,12,25.870000000000005,1,-8.089999999999975,1,23.810000000000002,1,-6.169999999999959,1,8.855000000000018
1165,1035,55493,30.29,91.06,2019,10,12,-2.589999999999975,1,-3.9699999999999704,1,2.930000000000007,1,-1.2299999999999613,1,-1.214999999999975
704,764,56004,34.13,92.26,2019,10,12,11.0,2,-9.689999999999998,1,8.0,2,-7.369999999999948,1,0.48500000000001364
710,1090,56021,34.08,95.49,2019,10,12,18.389483645854398,3,-11.389999999999986,1,11.132094775841395,3,-9.0,2,2.2828946054239516
185,358,52602,38.45,93.2,2019,10,13,20.190000000000055,1,-3.4699999999999704,1,21.510000000000048,1,-2.3899999999999864,1,8.960000000000036
422,612,52707,36.48,93.41,2019,10,13,20.77000000000004,1,-4.909999999999968,1,26.970000000000027,1,-3.25,1,9.895000000000024
449,749,52818,36.25,94.55,2019,10,13,21.05000000000001,1,-2.8899999999999864,1,18.55000000000001,1,-0.9099999999999682,1,8.950000000000017
448,914,52825,36.26,96.26,2019,10,13,27.110000000000014,1,1.1300000000000523,1,22.07000000000005,1,1.7500000000000568,1,13.015000000000043
458,1098,52836,36.18,98.06,2019,10,13,13.650000000000034,1,-3.92999999999995,1,5.935072765028508,3,-4.46999999999997,1,2.7962681912571554
584,732,52908,35.13,93.05,2019,10,13,6.133231273132992,3,-9.329999999999984,1,3.3700000000000045,1,-10.829999999999984,1,-2.664192181716743
949,165,55248,32.09,84.25,2019,10,13,30.07000000000005,1,-8.629999999999995,1,30.250000000000057,1,-2.2899999999999636,1,12.350000000000037
1045,1038,55299,31.29,92.04,2019,10,13,20.05000000000001,1,-4.0,2,14.550000000000011,1,-4.009999999999991,1,6.647500000000008
1179,18,55437,30.17,81.15,2019,10,13,24.55000000000001,1,-8.75,1,23.27000000000004,1,-5.649999999999977,1,8.355000000000018
1165,1035,55493,30.29,91.06,2019,10,13,15.610153077582055,3,-3.509999999999991,1,12.130000000000052,1,-1.7899999999999636,1,5.610038269395538
704,764,56004,34.13,92.26,2019,10,13,12.310000000000002,1,-7.6299999999999955,1,6.430000000000007,1,-7.109999999999957,1,1.0000000000000142
710,1090,56021,34.08,95.49,2019,10,13,4.878762369836352,3,-11.449999999999989,1,3.0,2,-10.069999999999993,1,-3.4103094075409075
185,358,52602,38.45,93.2,2019,10,14,17.0,2,-0.8299999999999841,1,17.0,2,-2.0,2,7.792500000000004
422,612,52707,36.48,93.41,2019,10,14,17.0,2,-5.7099999999999795,1,16.0,2,-4.0,2,5.822500000000005
449,749,52818,36.25,94.55,2019,10,14,16.0,2,-4.0,2,11.0,2,-13.489999999999952,1,2.377500000000012
448,914,52825,36.26,96.26,2019,10,14,12.950000000000045,1,-1.0,2,11.03000000000003,1,-1.0,2,5.495000000000019
458,1098,52836,36.18,98.06,2019,10,14,7.550000000000011,1,-6.0,2,15.069373537768712,3,-7.0,2,2.404843384442181
584,732,52908,35.13,93.05,2019,10,14,3.242241995586184,3,-14.229999999999961,1,5.690000000000055,1,-11.669999999999959,1,-4.24193950110342
949,165,55248,32.09,84.25,2019,10,14,28.83000000000004,1,-7.2099999999999795,1,23.010000000000048,1,-6.389999999999986,1,9.56000000000003
1045,1038,55299,31.29,92.04,2019,10,14,19.0,2,-6.0,2,12.0,2,-5.0,2,5.0
1179,18,55437,30.17,81.15,2019,10,14,24.79000000000002,1,-7.1299999999999955,1,20.750000000000057,1,-5.069999999999993,1,8.335000000000022
1165,1035,55493,30.29,91.06,2019,10,14,8.189227664152455,3,-3.8099999999999454,1,13.270000000000039,1,-1.3699999999999477,1,4.06980691603815
704,764,56004,34.13,92.26,2019,10,14,11.0,2,-9.20999999999998,1,10.270000000000039,1,-7.0499999999999545,1,1.2525000000000261
710,1090,56021,34.08,95.49,2019,10,14,9.210406815565321,3,-13.229999999999961,1,3.430000000000007,1,-10.629999999999995,1,-2.8048982961086573
185,358,52602,38.45,93.2,2019,10,15,16.510000000000048,1,-4.529999999999973,1,14.390000000000043,1,-2.6899999999999977,1,5.92000000000003
422,612,52707,36.48,93.41,2019,10,15,12.650000000000034,1,-8.189999999999998,1,8.07000000000005,1,-5.46999999999997,1,1.765000000000029
449,749,52818,36.25,94.55,2019,10,15,10.090000000000032,1,-5.96999999999997,1,1.1900000000000546,1,-3.9499999999999886,1,0.34000000000003183
448,914,52825,36.26,96.26,2019,10,15,8.850000000000023,1,-2.4499999999999886,1,18.110000000000014,1,-2.509999999999991,1,5.500000000000014
458,1098,52836,36.18,98.06,2019,10,15,5.0,2,-9.20999999999998,1,-4.0,2,-11.409999999999968,1,-4.904999999999987
584,732,52908,35.13,93.05,2019,10,15,0.9900000000000091,1,-13.189999999999998,1,2.0,2,-11.529999999999973,1,-5.43249999999999
949,165,55248,32.09,84.25,2019,10,15,29.110000000000014,1,-6.349999999999966,1,31.010000000000048,1,-3.2099999999999795,1,12.640000000000029
1045,1038,55299,31.29,92.04,2019,10,15,19.77000000000004,1,-3.0294392112614474,3,9.870000000000005,1,-6.0,2,5.152640197184649
1179,18,55437,30.17,81.15,2019,10,15,20.130000000000052,1,-8.129999999999995,1,22.350000000000023,1,-5.509999999999991,1,7.210000000000022
1165,1035,55493,30.29,91.06,2019,10,15,20.343827555341107,3,-8.70999999999998,1,12.0,2,-2.8899999999999864,1,5.185956888835285
704,764,56004,34.13,92.26,2019,10,15,11.610000000000014,1,-10.909999999999968,1,8.190000000000055,1,-8.669999999999959,1,0.05500000000003524
710,1090,56021,34.08,95.49,2019,10,15,14.222790211735287,3,-14.75,1,3.0300000000000296,1,-13.769999999999982,1,-2.8168024470661663
185,358,52602,38.45,93.2,2019,10,16,11.930000000000007,1,-3.8699999999999477,1,14.0,2,-1.9499999999999886,1,5.027500000000018
422,612,52707,36.48,93.41,2019,10,16,16.150000000000034,1,-6.92999999999995,1,13.0,2,-5.96999999999997,1,4.062500000000028
449,749,52818,36.25,94.55,2019,10,16,14.590000000000032,1,-5.069999999999993,1,12.930000000000007,1,-4.369999999999948,1,4.520000000000024
448,914,52825,36.26,96.26,2019,10,16,21.230000000000018,1,-2.5299999999999727,1,20.450000000000045,1,-1.1499999999999773,1,9.500000000000028
458,1098,52836,36.18,98.06,2019,10,16,1.150000000000034,1,-7.869999999999948,1,-0.5499999999999545,1,-6.389999999999986,1,-3.4149999999999636
584,732,52908,35.13,93.05,2019,10,16,3.0,2,-12.029999999999973,1,-2.2099999999999795,1,-12.369999999999948,1,-5.902499999999975
949,165,55248,32.09,84.25,2019,10,16,31.29000000000002,1,-9.629999999999995,1,29.0,2,-3.0,2,11.915000000000006
1045,1038,55299,31.29,92.04,2019,10,16,19.0,2,-9.549999999999955,1,9.0,2,-7.1299999999999955,1,2.8300000000000125
1179,18,55437,30.17,81.15,2019,10,16,21.0,2,-8.369999999999948,1,22.0,2,-5.109999999999957,1,7.380000000000024
1165,1035,55493,30.29,91.06,2019,10,16,-9.0,2,-7.0,2,13.53000000000003,1,-7.389999999999986,1,-2.464999999999989
704,764,56004,34.13,92.26,2019,10,16,6.330000000000041,1,-11.849999999999966,1,10.0,2,-11.25,1,-1.6924999999999812
710,1090,56021,34.08,95.49,2019,10,16,7.0,2,-14.92999999999995,1,-0.20999999999997954,1,-14.269999999999982,1,-5.602499999999978
185,358,52602,38.45,93.2,2019,10,17,18.590000000000032,1,-5.269999999999982,1,15.430000000000007,1,-1.0,2,6.937500000000014
422,612,52707,36.48,93.41,2019,10,17,24.010000000000048,1,-4.7099999999999795,1,19.130000000000052,1,-8.0,2,7.60750000000003
449,749,52818,36.25,94.55,2019,10,17,20.130000000000052,1,-2.0499999999999545,1,14.850000000000023,1,-4.0,2,7.23250000000003
448,914,52825,36.26,96.26,2019,10,17,24.210000000000036,1,-0.6899999999999977,1,18.53000000000003,1,-2.0,2,10.012500000000017
458,1098,52836,36.18,98.06,2019,10,17,7.8700000000000045,1,-5.189999999999998,1,3.830000000000041,1,-5.0,2,0.37750000000001194
